Experiment.ID	Trace.ID	date	channel	ROI	total.ROI.number	Area	Stimulation.after.frame	Time.for.requelibration	No.of.frames	Baseline	Mean.change	line.Fitted.change	Min.change	Max.change	time	value	value.SD	norm.value	norm.value.SD
20130816_Eevee AKT_EGF_100ngml_Kyoto_11	20130816_Eevee AKT_EGF_100ngml_Kyoto_11.CFP channel.10	19700101	CFP channel	10	23	3.7056E-6	11.0	1.0	160	4844.3298	-13.9893	-9.3162	-19.8596	-2.3383	16020	4217.4146	1404.6067	0.8706	0.2899
20130816_Eevee AKT_EGF_100ngml_Kyoto_11	20130816_Eevee AKT_EGF_100ngml_Kyoto_11.CFP channel.10	19700101	CFP channel	10	23	3.7184E-6	11.0	1.0	160	4844.3298	-13.9893	-9.3162	-19.8596	-2.3383	16200	4243.2876	1318.5414	0.8759	0.2722
20130816_Eevee AKT_EGF_100ngml_Kyoto_11	20130816_Eevee AKT_EGF_100ngml_Kyoto_11.CFP channel.10	19700101	CFP channel	10	23	3.7376E-6	11.0	1.0	160	4844.3298	-13.9893	-9.3162	-19.8596	-2.3383	16380	4248.2964	1403.5487	0.877	0.2897
20130816_Eevee AKT_EGF_100ngml_Kyoto_11	20130816_Eevee AKT_EGF_100ngml_Kyoto_11.CFP channel.10	19700101	CFP channel	10	23	3.7312E-6	11.0	1.0	160	4844.3298	-13.9893	-9.3162	-19.8596	-2.3383	16560	4229.7393	1276.4891	0.8731	0.2635
20130816_Eevee AKT_EGF_100ngml_Kyoto_11	20130816_Eevee AKT_EGF_100ngml_Kyoto_11.CFP channel.10	19700101	CFP channel	10	23	3.7312E-6	11.0	1.0	160	4844.3298	-13.9893	-9.3162	-19.8596	-2.3383	16740	4263.499	1289.1736	0.8801	0.2661
20130816_Eevee AKT_EGF_100ngml_Kyoto_11	20130816_Eevee AKT_EGF_100ngml_Kyoto_11.CFP channel.10	19700101	CFP channel	10	23	3.7056E-6	11.0	1.0	160	4844.3298	-13.9893	-9.3162	-19.8596	-2.3383	16920	4187.3696	1375.7184	0.8644	0.284
20130816_Eevee AKT_EGF_100ngml_Kyoto_11	20130816_Eevee AKT_EGF_100ngml_Kyoto_11.CFP channel.10	19700101	CFP channel	10	23	3.7184E-6	11.0	1.0	160	4844.3298	-13.9893	-9.3162	-19.8596	-2.3383	17100	4222.7437	1361.0686	0.8717	0.281
20130816_Eevee AKT_EGF_100ngml_Kyoto_11	20130816_Eevee AKT_EGF_100ngml_Kyoto_11.CFP channel.10	19700101	CFP channel	10	23	3.7120E-6	11.0	1.0	160	4844.3298	-13.9893	-9.3162	-19.8596	-2.3383	17280	4132.731	1341.0798	0.8531	0.2768
20130816_Eevee AKT_EGF_100ngml_Kyoto_11	20130816_Eevee AKT_EGF_100ngml_Kyoto_11.CFP channel.10	19700101	CFP channel	10	23	3.7248E-6	11.0	1.0	160	4844.3298	-13.9893	-9.3162	-19.8596	-2.3383	17460	4196.7954	1353.1831	0.8663	0.2793
20130816_Eevee AKT_EGF_100ngml_Kyoto_11	20130816_Eevee AKT_EGF_100ngml_Kyoto_11.CFP channel.10	19700101	CFP channel	10	23	3.7312E-6	11.0	1.0	160	4844.3298	-13.9893	-9.3162	-19.8596	-2.3383	17640	4160.6519	1371.0551	0.8589	0.283
20130816_Eevee AKT_EGF_100ngml_Kyoto_11	20130816_Eevee AKT_EGF_100ngml_Kyoto_11.CFP channel.10	19700101	CFP channel	10	23	3.7248E-6	11.0	1.0	160	4844.3298	-13.9893	-9.3162	-19.8596	-2.3383	17820	4265.7715	1341.2789	0.8806	0.2769
20130816_Eevee AKT_EGF_100ngml_Kyoto_11	20130816_Eevee AKT_EGF_100ngml_Kyoto_11.CFP channel.10	19700101	CFP channel	10	23	3.6992E-6	11.0	1.0	160	4844.3298	-13.9893	-9.3162	-19.8596	-2.3383	18000	4151.0674	1432.6462	0.8569	0.2957
20130816_Eevee AKT_EGF_100ngml_Kyoto_11	20130816_Eevee AKT_EGF_100ngml_Kyoto_11.CFP channel.10	19700101	CFP channel	10	23	3.7312E-6	11.0	1.0	160	4844.3298	-13.9893	-9.3162	-19.8596	-2.3383	18180	4140.1885	1395.7255	0.8546	0.2881
20130816_Eevee AKT_EGF_100ngml_Kyoto_11	20130816_Eevee AKT_EGF_100ngml_Kyoto_11.CFP channel.10	19700101	CFP channel	10	23	3.7312E-6	11.0	1.0	160	4844.3298	-13.9893	-9.3162	-19.8596	-2.3383	18360	4219.6777	1307.368	0.8711	0.2699
20130816_Eevee AKT_EGF_100ngml_Kyoto_11	20130816_Eevee AKT_EGF_100ngml_Kyoto_11.CFP channel.10	19700101	CFP channel	10	23	3.7376E-6	11.0	1.0	160	4844.3298	-13.9893	-9.3162	-19.8596	-2.3383	18540	4168.9912	1343.1704	0.8606	0.2773
20130816_Eevee AKT_EGF_100ngml_Kyoto_11	20130816_Eevee AKT_EGF_100ngml_Kyoto_11.CFP channel.10	19700101	CFP channel	10	23	3.7440E-6	11.0	1.0	160	4844.3298	-13.9893	-9.3162	-19.8596	-2.3383	18720	4243.7998	1379.4418	0.876	0.2848
20130816_Eevee AKT_EGF_100ngml_Kyoto_11	20130816_Eevee AKT_EGF_100ngml_Kyoto_11.CFP channel.10	19700101	CFP channel	10	23	3.7312E-6	11.0	1.0	160	4844.3298	-13.9893	-9.3162	-19.8596	-2.3383	18900	4190.9365	1363.8396	0.8651	0.2815
